file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,112,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,15
style.css,113,css,8348a92a,AndresRiera,2025-01-15,10:22:33,-08:00,2025-01-15T10:22:33-08:00,0,20
style.css,114,css,7ba204a2,AndresRiera,2025-01-15,10:10:06,-08:00,2025-01-15T10:10:06-08:00,0,0
style.css,115,css,8e1f7a39,AndresRiera,2025-01-15,15:35:03,-08:00,2025-01-15T15:35:03-08:00,0,0
style.css,116,css,bd29351f,AndresRiera,2025-01-15,15:38:52,-08:00,2025-01-15T15:38:52-08:00,0,16
style.css,117,css,e33517f6,AndresRiera,2025-01-15,15:42:53,-08:00,2025-01-15T15:42:53-08:00,0,14
style.css,118,css,8e1f7a39,AndresRiera,2025-01-15,15:35:03,-08:00,2025-01-15T15:35:03-08:00,0,0
style.css,119,css,8e1f7a39,AndresRiera,2025-01-15,15:35:03,-08:00,2025-01-15T15:35:03-08:00,0,0
style.css,120,css,bd29351f,AndresRiera,2025-01-15,15:38:52,-08:00,2025-01-15T15:38:52-08:00,0,16
style.css,121,css,e33517f6,AndresRiera,2025-01-15,15:42:53,-08:00,2025-01-15T15:42:53-08:00,0,14
style.css,122,css,bd29351f,AndresRiera,2025-01-15,15:38:52,-08:00,2025-01-15T15:38:52-08:00,0,0
style.css,123,css,bd29351f,AndresRiera,2025-01-15,15:38:52,-08:00,2025-01-15T15:38:52-08:00,0,16
style.css,124,css,bd29351f,AndresRiera,2025-01-15,15:38:52,-08:00,2025-01-15T15:38:52-08:00,0,12
style.css,125,css,e33517f6,AndresRiera,2025-01-15,15:42:53,-08:00,2025-01-15T15:42:53-08:00,0,30
style.css,126,css,bd29351f,AndresRiera,2025-01-15,15:38:52,-08:00,2025-01-15T15:38:52-08:00,0,13
style.css,127,css,bd29351f,AndresRiera,2025-01-15,15:38:52,-08:00,2025-01-15T15:38:52-08:00,0,11
style.css,128,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,0
style.css,129,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,0
style.css,130,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,19
style.css,131,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,18
style.css,132,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,9
style.css,133,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,11
style.css,134,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,14
style.css,135,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,20
style.css,136,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,13
style.css,137,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,19
style.css,138,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,11
style.css,139,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,15
style.css,140,css,b06b1fda,AndresRiera,2025-01-22,20:51:42,-08:00,2025-01-22T20:51:42-08:00,0,22
